code,name,listDate,exchange,type,id,sinaIndustry,sinaConcept,sinaArea,sector,industry,timestamp
600146,商赢环球,1999-07-07,sh,stock,stock_sh_600146,塑料制品,"['丝绸之路', '融资融券', '碳纤维', '陕甘宁']",宁夏,,,1999-07-07
600148,长春一东,1998-05-20,sh,stock,stock_sh_600148,汽车制造,"['军民融合', '图们江', '国防军工', '军工航天']",吉林,,,1998-05-20
600149,*ST坊展,1999-10-14,sh,stock,stock_sh_600149,机械行业,"['雄安新区', '融资融券', '保障房', '金融参股', '京津冀']",河北,,,1999-10-14
600150,中国船舶,1998-05-20,sh,stock,stock_sh_600150,船舶制造,"['券商重仓', '海工装备', '军民融合', '融资融券', '央企50', '上海本地', '业绩预降', '国防军工', '军工航天']",上海,,,1998-05-20
600151,航天机电,1998-06-05,sh,stock,stock_sh_600151,电子器件,"['参股金融', '低碳经济', '军民融合', '太阳能', '金融参股', '业绩预升', '新能源', '多晶硅', '上海本地', '国防军工', '军工航天']",上海,,,1998-06-05
600152,维科精华,1998-06-09,sh,stock,stock_sh_600152,纺织行业,"['石墨烯', '新能源']",浙江,,,1998-06-09
600153,建发股份,1998-06-16,sh,stock,stock_sh_600153,物资外贸,"['参股金融', '海峡西岸', '融资融券', '保险重仓', '金融参股']",福建,,,1998-06-16
600155,宝硕股份,1998-09-18,sh,stock,stock_sh_600155,化工行业,"['雄安新区', '京津冀', '重组概念']",河北,,,1998-09-18
600156,华升股份,1998-05-27,sh,stock,stock_sh_600156,纺织行业,"['参股金融', '长株潭', '金融参股', '土地流转']",湖南,,,1998-05-27
600157,永泰能源,1998-05-13,sh,stock,stock_sh_600157,煤炭行业,"['融资融券', '页岩气']",山西,,,1998-05-13
600158,中体产业,1998-03-27,sh,stock,stock_sh_600158,,"['参股金融', '体育概念', '赛马概念', '融资融券', '博彩概念', '京津冀', '土地流转']",天津,,,1998-03-27
600159,大龙地产,1998-05-26,sh,stock,stock_sh_600159,房地产,京津冀,北京,,,1998-05-26
600160,巨化股份,1998-06-26,sh,stock,stock_sh_600160,化工行业,"['低碳经济', '创投概念', '融资融券', '保险重仓', '业绩预降']",浙江,,,1998-06-26
600161,天坛生物,1998-06-16,sh,stock,stock_sh_600161,生物制药,"['甲型流感', '生物疫苗', '超级细菌', '本月解禁', 'QFII重仓', '抗流感', '业绩预升']",北京,,,1998-06-16
600162,香江控股,1998-06-09,sh,stock,stock_sh_600162,房地产,"['民营银行', '重组概念', '涉矿概念']","['深圳', '广东']",,,1998-06-09
